                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.65314,                0.46311,                0.92274,                0.86502,                   0.93,                0.92705,                0.72676,                0.86018,                0.64546,                 1.0249,              0.0007526,              0.0007526,              0.0007526
                    129,                0.62115,                0.45105,                0.92449,                0.85519,                  0.945,                0.92859,                0.72177,                 0.8614,                0.66323,                 1.0255,              0.0007427,              0.0007427,              0.0007427
                    130,                0.62138,                  0.445,                0.92064,                0.90641,                 0.8716,                0.92404,                0.73294,                 0.8578,                 0.6982,                  1.024,              0.0007328,              0.0007328,              0.0007328
                    131,                0.64011,                0.43948,                0.93316,                0.89857,                   0.88,                0.92038,                0.72662,                0.85784,                0.70276,                 1.0254,              0.0007229,              0.0007229,              0.0007229
                    132,                0.62147,                 0.4264,                0.90812,                0.89324,                   0.91,                0.92462,                 0.7229,                0.86358,                0.69607,                 1.0445,               0.000713,               0.000713,               0.000713
                    133,                0.61466,                   0.43,                 0.9144,                0.86743,                0.91607,                0.92045,                0.72519,                0.86105,                0.69381,                 1.0503,              0.0007031,              0.0007031,              0.0007031
                    134,                0.61612,                0.42895,                 0.9212,                0.87054,                0.90783,                0.91675,                0.72801,                0.83879,                0.69297,                 1.0357,              0.0006932,              0.0006932,              0.0006932
                    135,                0.62679,                0.41695,                 0.9289,                 0.9025,                  0.905,                0.93618,                0.73324,                0.86922,                0.63807,                 1.0493,              0.0006833,              0.0006833,              0.0006833
                    136,                0.62791,                0.43487,                0.91447,                0.90808,                    0.9,                0.92926,                0.72502,                0.86784,                0.63014,                 1.0295,              0.0006734,              0.0006734,              0.0006734
                    137,                0.61866,                0.43663,                0.92125,                0.91001,                  0.885,                 0.9227,                0.72143,                0.85483,                0.66275,                 1.0278,              0.0006635,              0.0006635,              0.0006635
                    138,                0.59993,                0.42478,                0.91942,                0.87973,                0.91436,                0.92251,                0.73452,                0.84145,                0.64941,                 1.0133,              0.0006536,              0.0006536,              0.0006536
                    139,                0.59274,                0.40862,                0.92358,                0.90939,                  0.895,                0.92921,                0.74639,                0.84365,                0.66185,                 1.0239,              0.0006437,              0.0006437,              0.0006437
                    140,                0.57682,                0.39847,                0.90336,                0.92129,                    0.9,                 0.9404,                0.73307,                0.83974,                0.59973,                 1.0224,              0.0006338,              0.0006338,              0.0006338
                    141,                0.60497,                0.41101,                0.92847,                0.88495,                0.92305,                0.93783,                0.72422,                0.84982,                 0.6096,                 1.0269,              0.0006239,              0.0006239,              0.0006239
                    142,                0.59715,                0.41154,                0.91865,                0.90578,                0.91326,                0.92613,                0.71961,                0.86442,                 0.6404,                 1.0367,               0.000614,               0.000614,               0.000614
                    143,                0.60631,                0.39525,                0.91344,                0.90816,                  0.925,                0.92312,                 0.7289,                 0.8348,                0.63401,                 1.0271,              0.0006041,              0.0006041,              0.0006041
                    144,                0.58905,                0.39723,                0.90531,                0.91886,                0.90591,                0.91663,                 0.7256,                0.85077,                0.64324,                 1.0333,              0.0005942,              0.0005942,              0.0005942
                    145,                0.58008,                0.40544,                0.91758,                0.90178,                 0.9181,                0.92376,                0.73103,                0.82687,                0.63327,                 1.0298,              0.0005843,              0.0005843,              0.0005843
                    146,                0.56748,                0.39257,                0.89385,                0.92477,                  0.885,                 0.9236,                0.72687,                0.85881,                0.67224,                 1.0382,              0.0005744,              0.0005744,              0.0005744
                    147,                0.57314,                0.38387,                0.91571,                0.90238,                   0.89,                 0.9203,                0.73234,                0.84195,                0.67548,                  1.032,              0.0005645,              0.0005645,              0.0005645
                    148,                0.61351,                0.41052,                0.90576,                0.90224,                0.87679,                0.92298,                0.72143,                0.85597,                0.68855,                 1.0404,              0.0005546,              0.0005546,              0.0005546
                    149,                0.58501,                0.38759,                0.91036,                0.91338,                   0.88,                0.92205,                  0.725,                0.84771,                0.66618,                 1.0322,              0.0005447,              0.0005447,              0.0005447
                    150,                0.54656,                0.37164,                0.90786,                0.92095,                   0.87,                0.92426,                0.73372,                0.82439,                0.64594,                 1.0131,              0.0005348,              0.0005348,              0.0005348
                    151,                0.57804,                0.38764,                0.89744,                0.89751,                   0.91,                0.93398,                0.73917,                0.82927,                0.60433,                 1.0256,              0.0005249,              0.0005249,              0.0005249
                    152,                0.57027,                0.38535,                  0.911,                0.88373,                  0.915,                0.93313,                0.74192,                0.82775,                0.60962,                 1.0288,               0.000515,               0.000515,               0.000515
                    153,                0.57308,                 0.3825,                0.90368,                0.89386,                  0.885,                0.93682,                0.73254,                0.86268,                 0.6104,                 1.0491,              0.0005051,              0.0005051,              0.0005051
                    154,                0.55812,                0.37508,                0.89608,                0.91756,                  0.895,                0.93746,                0.72956,                 0.8661,                0.61099,                 1.0601,              0.0004952,              0.0004952,              0.0004952
